模板类型	链接	订单	库存	商品数	域名	标题
卡网列表模板(通用自动发卡)	https://qq6666.top/shop/	0	1754	20	qq6666.top	老鬼QQ
卡网列表模板(通用自动发卡)	https://ymqq.lol/shop/	0	1419	15	ymqq.lol	圆梦QQ 飞机@b520y
卡网列表模板(通用自动发卡)	https://kln166.lol/shop/	0	1388	11	kln166.lol	库里南 一手QQ号商
卡网列表模板(通用自动发卡)	https://kln166.top/shop/	0	1388	11	kln166.top	库里南 一手QQ号商
卡网列表模板(通用自动发卡)	https://qq8.one/	0	1192	11	qq8.one	熊猫QQ 飞机@aiqq 四字id
卡网列表模板(通用自动发卡)	https://kpba.shop/shop/	0	1112	0	kpba.shop	辉煌【一手货源】
卡网列表模板(通用自动发卡)	https://o898.com/shop/	0	1060	0	o898.com	爱Q商城
卡网列表模板(通用自动发卡)	http://qingtianqq1.top/shop/	0	1011	12	qingtianqq1.top	静观其变自动发卡
卡网列表模板(通用自动发卡)	https://maomao888.top/shop/	0	971	9	maomao888.top	自动发卡
卡网列表模板(通用自动发卡)	https://qq6666.lol/shop/	0	859	6	qq6666.lol	自动发卡
卡网列表模板(通用自动发卡)	https://tszqq.lol/shop/	0	855	17	tszqq.lol	老黑一手QQ对接 飞机 @cc88918
卡网列表模板(通用自动发卡)	https://elmqq.top/shop/	0	800	0	elmqq.top	饿了么QQ一手号商
卡网列表模板(通用自动发卡)	http://qq1234.cc/index.php	0	775	21	qq1234.cc	春哥QQ抖音
卡网列表模板(通用自动发卡)	https://jinyin1818.top/shop/	0	775	0	jinyin1818.top	金银
卡网列表模板(通用自动发卡)	https://xihongqq.top/shop/	0	765	13	xihongqq.top	西红柿QQ商城24小时自动下单发卡网
卡网列表模板(通用自动发卡)	https://laok558.top/shop/	0	763	0	laok558.top	老K货源-日进斗金
卡网列表模板(通用自动发卡)	https://qcccc888.top/shop/	0	736	26	qcccc888.top	大帅qq发卡网
卡网列表模板(通用自动发卡)	https://tianfei88.lol/shop/	0	729	0	tianfei88.lol	天妃{一手货源}
卡网列表模板(通用自动发卡)	https://hu6621.cn/shop/	0	644	5	hu6621.cn	自动发卡
卡网列表模板(通用自动发卡)	http://fffzz.lol/shop/	0	642	14	fffzz.lol	自动发卡
卡网列表模板(通用自动发卡)	http://fffzz.top/shop/	0	642	14	fffzz.top	自动发卡
卡网列表模板(通用自动发卡)	https://htqq.lol/shop/	0	642	14	htqq.lol	自动发卡
卡网列表模板(通用自动发卡)	https://xiaobei.lol/shop/	0	622	4	xiaobei.lol	自动发卡
卡网列表模板(通用自动发卡)	https://youhui1998.top/shop/	0	620	3	youhui1998.top	自动发卡
卡网列表模板(通用自动发卡)	https://nengliang.lol/shop/	0	461	8	nengliang.lol	自动发卡
卡网列表模板(通用自动发卡)	http://xdd6689.top/shop/	0	339	6	xdd6689.top	小叮当qq自动发卡客服飞机 @xdd66989
卡网列表模板(通用自动发卡)	https://dadiqq.com/shop/	0	331	5	dadiqq.com	大地QQ KOKO独家专属密码 - 大地QQ KOKO独家专属密码
卡网列表模板(通用自动发卡)	https://siye.lol/shop/	0	290	4	siye.lol	自动发卡
卡网列表模板(通用自动发卡)	https://qq1.lol/	0	286	13	qq1.lol	自动发卡
卡网列表模板(通用自动发卡)	https://az886.top/shop/	0	284	5	az886.top	自动发卡
卡网列表模板(通用自动发卡)	https://lbd.lol/shop/	0	267	0	lbd.lol	自动发卡
卡网列表模板(通用自动发卡)	https://ljqqqq.lol/shop/	0	264	9	ljqqqq.lol	LJ游戏小号转卖 - 大量拿货联系飞机：@ljqqq
卡网列表模板(通用自动发卡)	https://xxn7788.top/shop/	0	159	0	xxn7788.top	小仙女7788
卡网列表模板(通用自动发卡)	https://qqbizu666.top/shop/	0	150	5	qqbizu666.top	自动发卡
卡网列表模板(通用自动发卡)	https://qq857.cc/shop/	0	104	5	qq857.cc	自动发卡
卡网列表模板(通用自动发卡)	http://maiqq88.top/shop/	0	92	5	maiqq88.top	自动发卡
卡网列表模板(通用自动发卡)	https://juzi668.top/shop/	0	84	0	juzi668.top	橘子
卡网列表模板(通用自动发卡)	https://yedaoqq.top/shop/	0	58	10	yedaoqq.top	椰岛发号网
卡网列表模板(通用自动发卡)	https://qx138888.top/shop/	0	39	2	qx138888.top	自动发卡
卡网列表模板(通用自动发卡)	https://tangsqq.top/shop/	0	38	6	tangsqq.top	自动发卡
卡网列表模板(通用自动发卡)	https://yewen.lol/shop/	0	35	9	yewen.lol	叶问发卡批发
卡网列表模板(通用自动发卡)	https://jinku.lol/shop/	0	32	6	jinku.lol	金库 一手QQ号商
卡网列表模板(通用自动发卡)	https://piguqq.top/shop/	0	32	5	piguqq.top	自动发卡
卡网列表模板(通用自动发卡)	http://zhanghaofk88.top/shop/	0	32	5	zhanghaofk88.top	布布发卡
卡网列表模板(通用自动发卡)	https://kangsfqq.top/shop/	0	29	0	kangsfqq.top	自动发卡
卡网列表模板(通用自动发卡)	https://maoqq.lol/	0	27	5	maoqq.lol	猫猫发卡网
卡网列表模板(通用自动发卡)	https://kk987.top/shop/	0	24	3	kk987.top	子心发卡
卡网列表模板(通用自动发卡)	https://dabaoqq.top/shop/	0	15	3	dabaoqq.top	大宝自助发卡网
卡网列表模板(通用自动发卡)	https://baichuan.lol/shop/	0	10	3	baichuan.lol	海纳百川发号网
卡网列表模板(通用自动发卡)	https://kdyfk.top/shop/	0	10	0	kdyfk.top	客服@paws8889
卡网列表模板(通用自动发卡)	https://byqqdd.top/shop/	0	6	1	byqqdd.top	唯一
卡网列表模板(通用自动发卡)	https://ttqq.my/	0	0	14	ttqq.my	彩虹云商城
卡网列表模板(通用自动发卡)	https://daxiangjiao.lol/shop/	0	0	13	daxiangjiao.lol	大香蕉一手QQ号商
卡网列表模板(通用自动发卡)	https://qqxbk.vip/	0	0	12	qqxbk.vip	XBK星巴克自动发货
卡网列表模板(通用自动发卡)	https://shenyuan.lol/shop/	0	0	11	shenyuan.lol	自动发卡
卡网列表模板(通用自动发卡)	https://chuhao.lol/shop/	0	0	5	chuhao.lol	彦祖QQ
卡网列表模板(通用自动发卡)	https://jackww.top/shop/	0	0	4	jackww.top	星云qq号商
异次元发卡	https://shopping.qq898.vip/index.php	5	0	0	shopping.qq898.vip	亿众 源头出QQ，微信 1
异次元发卡	https://hao998.xyz/	0	0	0	hao998.xyz	简单发卡网
异次元发卡	https://lubanqq.top/	0	0	0	lubanqq.top	鲁班@lubanqqq 游戏账号平台
异次元发卡	http://qqduo.com/	0	0	0	qqduo.com	QQ号购买批发商城-QQ号码购买|QQ小号批发|买QQ号|QQ不冻结/QQ直登号
异次元发卡	https://qqx2.cc/	0	0	0	qqx2.cc	购物 - 小二🔶海外/APP批发🔶
异次元发卡	https://shopping.qq11388.vip/	0	0	0	shopping.qq11388.vip	太白镜像 - 一手出QQ真机自养
异次元发卡	https://shopping.qq11399.vip/	0	0	0	shopping.qq11399.vip	太白 - 一手出QQ真机自养
独角数卡	http://faka98.top/	0	0	0	faka98.top	首页 | 24小时自动发卡
靓号网/选号站	http://1818lianghao.com/	4	0	0	1818lianghao.com	QQ靓号平台_买QQ靓号_购买5位/6位/7位/8位qq号_到1818靓号网
靓号网/选号站	https://taoqqhao.com/	0	60	0	taoqqhao.com	买qq靓号站,qq号码购买,qq靓号网站,qq号靓号网站,普通qq选号平台
靓号网/选号站	https://16lh.com/	0	0	0	16lh.com	壹牛靓号网-QQ靓号的正规安全交易平台
靓号网/选号站	http://1qqlh.com/	0	0	0	1qqlh.com	老大靓号网-QQ靓号/5位QQ/6位QQ/7位QQ/8位QQ/9位QQ/10位QQ号码交易平台
靓号网/选号站	http://3qq.cn/	0	0	0	3qq.cn	靓号站官网 - 买QQ号,7位QQ号,8位QQ号,9位QQ号,QQ靓号,太阳号,太阳QQ号
靓号网/选号站	https://66689.cn/	0	0	0	66689.cn	qq选号网,购买qq号商城,国卡换绑qq,5678910位qq靓号购买,qq换绑号码
靓号网/选号站	http://m.qq268.com/	0	0	0	m.qq268.com	牛牛靓号网_为您提供5~10位QQ靓号_购买QQ号码首选网站
靓号网/选号站	https://maihaoqq.com/	0	0	0	maihaoqq.com	qq账号购买-qq小号平台-直登qq-买卖qq靓号网站
靓号网/选号站	https://qq156.cn/	0	0	0	qq156.cn	买QQ号,QQ靓号,5-10位qq,购买qq靓号,买QQ号码正规网站-【米斯尼QQ店】
靓号网/选号站	http://qq178.com/	0	0	0	qq178.com	178靓号网-您值得信赖的优质QQ号码资源提供商
靓号网/选号站	https://qq520.cn/	0	0	0	qq520.cn	QQ靓号网 | QQ567位号码|国内最大QQ靓号商城(富贵靓号)
靓号网/选号站	https://qq56789.com/shop/	0	0	0	qq56789.com	页面未找到 - QQ靓号网
靓号网/选号站	http://qq899.com/shop/	0	0	0	qq899.com	QQ靓号,5~10位QQ靓号交易平台
靓号网/选号站	http://qqhhoo.com/	0	0	0	qqhhoo.com	超群靓号,5位QQ靓号,6位QQ靓号,7位QQ靓号,8位QQ靓号,9位QQ靓号,QQ群靓号
靓号网/选号站	https://qqjybby.com/	0	0	0	qqjybby.com	QQ靓号网
靓号网/选号站	http://qqlh88.com/	0	0	0	qqlh88.com	QQ选号网|QQ靓号网|5位QQ靓号|6位QQ靓号|7位QQ靓号-超群靓号网
靓号网/选号站	http://qqlhmd.com/	0	0	0	qqlhmd.com	靓号名店 QQ号码_QQ靓号网QQ交易网站|买QQ号|QQ行业|知名商家QQ专卖,专业批发零售QQ自动发货机器人承接工作室专用各类QQ
靓号网/选号站	https://qqlhw.com/	0	0	0	qqlhw.com	QQ靓号网 | 买qq靓号|国内最全QQ靓号商城
靓号网/选号站	https://x5.wzdj.net/	0	0	0	x5.wzdj.net	QQ靓号商城 | QQ年费号码|QQ普通号专卖|QQ6 7位号码|YY频道号|YY群号|YY高成长号码|国内最大QQ、YY靓号商城。
其他自动发卡站	https://qq.728.hk/	5282	2553	0	qq.728.hk	首页 | QQ发卡 - 社交账号自动发卡平台
其他自动发卡站	https://backup.u8bffe.top/	0	0	0	backup.u8bffe.top	首页 | 账号批发|游戏批发|小号批发|实名账号|低价账号|海外账号|粉丝账号|代刷业务|facebook|推特|TG|飞机|电报|ins|instagram|ig|广告|账号商城|QQ|QQ账号|QQ批发|QQ号批发|大军账号|ChatGPT|ChatGPT账号|ChatGPT私钥
其他自动发卡站	http://dkfaka.shop/	0	0	0	dkfaka.shop	首页 | 迪克全网最全账号批发|小号批发|实名账号|低价账号|海外账号|粉丝账号|代刷业务|facebook|推特|TG|飞机|电报|ins|instagram|ig|广告|账号商城|QQ|QQ账号|QQ批发|QQ号批发|大军账号|ChatGPT|ChatGPT账号|ChatGPT私钥
其他自动发卡站	http://haowang1.shop/	0	0	0	haowang1.shop	账号批发 | 零售-最好的网站-好旺号商账号平台
其他自动发卡站	http://haowang2.shop/	0	0	0	haowang2.shop	账号批发 | 零售-最好的网站-好旺号商平台
其他自动发卡站	http://qqhgm.com/	0	0	0	qqhgm.com	首页 | QQ号批发 - QQ小号发卡网 - QQ号自助购买平台
其他自动发卡站	https://qqxiaohaofk.com/	0	0	0	qqxiaohaofk.com	个人QQ批发_QQ小号批发_qq号自助购买平台_qq小号发卡网 - QQ游戏小号批发-自动发货平台
其他自动发卡站	http://xiaohaopf.com/	0	0	0	xiaohaopf.com	小号批发 - 微信号、qq号、支付宝号、抖音号、快手号、小红书号在线自助购买平台
未识别模板	https://qqzhw.com/	4079	875	0	qqzhw.com	QQ账号购买|QQ账号批发|购买QQ账号|QQ账号商|QQ小号购买|QQ账号选购平台|QQ号商|qq号购买
未识别模板	http://zhanghaoxiong.com/	0	102	0	zhanghaoxiong.com	账号熊官网｜数字账号商品与使用教程
未识别模板	https://06xp.com/	0	0	0	06xp.com	QQ号购买商城-QQ号码购买|直登号QQ号批发|QQ小号购买|不冻结/不弹窗
未识别模板	http://132226.com/	0	0	0	132226.com	qq号码购买批发
未识别模板	https://50595.cn/	0	0	0	50595.cn	太阳qq号批发_8位数qq购买_扣扣小号网_娜蒂QQ号码网
未识别模板	https://851466219.com/	0	0	0	851466219.com	QQ号码批发-全自动发货平台-起点QQ号批发商城
未识别模板	https://maihao.pro/	0	0	0	maihao.pro	买卖号商城 - 买卖号商城
未识别模板	https://maimaiqq.com/	0	0	0	maimaiqq.com	QQ号购买和批发，QQ小号购买，QQ账号批发，QQ白号，QQ满月号，QQ实名号，QQ老号等购买-买卖QQ。
未识别模板	https://qq11388.vip/shop/	0	0	0	qq11388.vip	牢记永久网站地址
未识别模板	http://qq114.com/	0	0	0	qq114.com	qq114.com
未识别模板	http://qq152.cn/	0	0	0	qq152.cn	QQ卡盟_QQ业务快刷-卡盟代刷专业平台
未识别模板	https://qq60.vip/shop/	0	0	0	qq60.vip	系统发生错误
未识别模板	https://qq61.vip/	0	0	0	qq61.vip	鑫博-线上综合娱乐平台 PC28 赛车 时时彩 百家乐 棋牌 电子 体育
未识别模板	https://qq666.xyz/shop/	0	0	0	qq666.xyz	502 Bad Gateway
未识别模板	https://qqqxiaohao.com/	0	0	0	qqqxiaohao.com	首页 | QQ小号购买与出售平台｜实名认证账号批发｜稳定安全直登
未识别模板	https://tinderzhanghao.com/	0	0	0	tinderzhanghao.com	首页 | Tinder账号购买-Tinder邮箱购买-Tinder邮箱批发-Tinder绿邮批发-Tinder账号出售-Tinder美国账号出售-Tinder号商-Tinder活号技术-Tinder火种批发-Tinder注册脚本-Tinder蓝v定制
未识别模板	https://zu.xiangzuhao.com.cn/shop/	0	0	0	zu.xiangzuhao.com.cn	享租号商家管理
