排名	历史订单	库存规模	商品数	是否展示订单	模板类型	链接	标题
68	0	24	3	否	卡网列表模板(通用自动发卡)	https://kk987.top/shop/	子心发卡
69	0	15	3	否	卡网列表模板(通用自动发卡)	https://dabaoqq.top/shop/	大宝自助发卡网
70	0	10	3	否	卡网列表模板(通用自动发卡)	https://baichuan.lol/shop/	海纳百川发号网
71	0	6	1	否	卡网列表模板(通用自动发卡)	https://byqqdd.top/shop/	唯一
72	0	0	84	否	YKFAKA易发卡	https://dmdqq.cc/	首页-哆咪哆商城
73	0	0	77	否	YKFAKA易发卡	https://fak86.top/	首页-拾玥Q商城
74	0	0	66	否	YKFAKA易发卡	https://qq9888.vip/	首页-大商QQ批发
75	0	0	49	否	YKFAKA易发卡	https://q6666.top/	首页-自动发卡网
76	0	0	33	否	YKFAKA易发卡	https://xmqqw.vip/	首页-优卡自动发卡网
77	0	0	32	否	YKFAKA易发卡	https://mima1314.com/	首页-教父网
78	0	0	23	否	YKFAKA易发卡	https://q6666.xyz/	首页-自动发卡网
79	0	0	22	否	YKFAKA易发卡	https://putaoqq.top/	首页-优卡自动发卡网
80	0	0	22	否	YKFAKA易发卡	https://tjqq.top/	首页-QQ号批发
81	0	0	22	否	YKFAKA易发卡	https://ttqq.top/	首页-慢慢 自动发卡网
82	0	0	20	否	YKFAKA易发卡	https://jinziqq.com/	首页-优卡自动发卡网
83	0	0	20	否	YKFAKA易发卡	https://miduo666.com/	首页-优卡自动发卡网
84	0	0	14	否	卡网列表模板(通用自动发卡)	https://ttqq.my/	彩虹云商城
85	0	0	13	否	卡网列表模板(通用自动发卡)	https://daxiangjiao.lol/shop/	大香蕉一手QQ号商
86	0	0	12	否	卡网列表模板(通用自动发卡)	https://qqxbk.vip/	XBK星巴克自动发货
87	0	0	11	否	卡网列表模板(通用自动发卡)	https://shenyuan.lol/shop/	自动发卡
88	0	0	9	否	YKFAKA易发卡	https://meituan668.com/	首页-优卡自动发卡网
89	0	0	5	否	卡网列表模板(通用自动发卡)	https://chuhao.lol/shop/	彦祖QQ
90	0	0	4	否	卡网列表模板(通用自动发卡)	https://jackww.top/shop/	星云qq号商
91	0	0	0	否	未识别模板	https://06xp.com/	QQ号购买商城-QQ号码购买|直登号QQ号批发|QQ小号购买|不冻结/不弹窗
92	0	0	0	否	未识别模板	http://132226.com/	qq号码购买批发
93	0	0	0	否	靓号网/选号站	https://16lh.com/	壹牛靓号网-QQ靓号的正规安全交易平台
94	0	0	0	否	靓号网/选号站	http://1qqlh.com/	老大靓号网-QQ靓号/5位QQ/6位QQ/7位QQ/8位QQ/9位QQ/10位QQ号码交易平台
95	0	0	0	否	靓号网/选号站	http://3qq.cn/	靓号站官网 - 买QQ号,7位QQ号,8位QQ号,9位QQ号,QQ靓号,太阳号,太阳QQ号
96	0	0	0	否	未识别模板	https://50595.cn/	太阳qq号批发_8位数qq购买_扣扣小号网_娜蒂QQ号码网
97	0	0	0	否	靓号网/选号站	https://66689.cn/	qq选号网,购买qq号商城,国卡换绑qq,5678910位qq靓号购买,qq换绑号码
98	0	0	0	否	未识别模板	https://851466219.com/	QQ号码批发-全自动发货平台-起点QQ号批发商城
99	0	0	0	否	其他自动发卡站	https://backup.u8bffe.top/	首页 | 账号批发|游戏批发|小号批发|实名账号|低价账号|海外账号|粉丝账号|代刷业务|facebook|推特|TG|飞机|电报|ins|instagram|ig|广告|账号商城|QQ|QQ账号|QQ批发|QQ号批发|大军账号|ChatGPT|ChatGPT账号|ChatGPT私钥
100	0	0	0	否	其他自动发卡站	http://dkfaka.shop/	首页 | 迪克全网最全账号批发|小号批发|实名账号|低价账号|海外账号|粉丝账号|代刷业务|facebook|推特|TG|飞机|电报|ins|instagram|ig|广告|账号商城|QQ|QQ账号|QQ批发|QQ号批发|大军账号|ChatGPT|ChatGPT账号|ChatGPT私钥
101	0	0	0	否	独角数卡	http://faka98.top/	首页 | 24小时自动发卡
102	0	0	0	否	异次元发卡	https://hao998.xyz/	简单发卡网
103	0	0	0	否	其他自动发卡站	http://haowang1.shop/	账号批发 | 零售-最好的网站-好旺号商账号平台
104	0	0	0	否	其他自动发卡站	http://haowang2.shop/	账号批发 | 零售-最好的网站-好旺号商平台
105	0	0	0	否	异次元发卡	https://lubanqq.top/	鲁班@lubanqqq 游戏账号平台
106	0	0	0	否	靓号网/选号站	http://m.qq268.com/	牛牛靓号网_为您提供5~10位QQ靓号_购买QQ号码首选网站
107	0	0	0	否	未识别模板	https://maihao.pro/	买卖号商城 - 买卖号商城
108	0	0	0	否	靓号网/选号站	https://maihaoqq.com/	qq账号购买-qq小号平台-直登qq-买卖qq靓号网站
109	0	0	0	否	未识别模板	https://maimaiqq.com/	QQ号购买和批发，QQ小号购买，QQ账号批发，QQ白号，QQ满月号，QQ实名号，QQ老号等购买-买卖QQ。
110	0	0	0	否	YKFAKA易发卡	https://pfqq.net/	QQ直登三无小号全自动批发商城-QQ号码批发|卖QQ小号批发|买QQ号|QQ不冻结号批发|QQ号码短信解封查密正查封云平台
111	0	0	0	否	YKFAKA易发卡	https://pifaqq.cn/	QQ直登三无小号全自动批发商城-QQ号码批发|卖QQ小号批发|买QQ号|QQ不冻结号批发|QQ号码短信解封查密正查封云平台
112	0	0	0	否	未识别模板	https://qq11388.vip/shop/	牢记永久网站地址
113	0	0	0	否	未识别模板	http://qq114.com/	qq114.com
114	0	0	0	否	未识别模板	http://qq152.cn/	QQ卡盟_QQ业务快刷-卡盟代刷专业平台
115	0	0	0	否	靓号网/选号站	https://qq156.cn/	买QQ号,QQ靓号,5-10位qq,购买qq靓号,买QQ号码正规网站-【米斯尼QQ店】
116	0	0	0	否	靓号网/选号站	http://qq178.com/	178靓号网-您值得信赖的优质QQ号码资源提供商
117	0	0	0	否	靓号网/选号站	https://qq520.cn/	QQ靓号网 | QQ567位号码|国内最大QQ靓号商城(富贵靓号)
118	0	0	0	否	靓号网/选号站	https://qq56789.com/shop/	页面未找到 - QQ靓号网
119	0	0	0	否	未识别模板	https://qq60.vip/shop/	系统发生错误
120	0	0	0	否	未识别模板	https://qq61.vip/	鑫博-线上综合娱乐平台 PC28 赛车 时时彩 百家乐 棋牌 电子 体育
121	0	0	0	否	未识别模板	https://qq666.xyz/shop/	502 Bad Gateway
122	0	0	0	否	靓号网/选号站	http://qq899.com/shop/	QQ靓号,5~10位QQ靓号交易平台
123	0	0	0	否	异次元发卡	http://qqduo.com/	QQ号购买批发商城-QQ号码购买|QQ小号批发|买QQ号|QQ不冻结/QQ直登号
124	0	0	0	否	YKFAKA易发卡	https://qqfk.net/	百万QQ批发商城-QQ号码批发|卖QQ小号批发|买QQ号|QQ不冻结号批发|QQ号码短信解封查密正查封云平台
125	0	0	0	否	其他自动发卡站	http://qqhgm.com/	首页 | QQ号批发 - QQ小号发卡网 - QQ号自助购买平台
126	0	0	0	否	靓号网/选号站	http://qqhhoo.com/	超群靓号,5位QQ靓号,6位QQ靓号,7位QQ靓号,8位QQ靓号,9位QQ靓号,QQ群靓号
127	0	0	0	否	YKFAKA易发卡	https://qqhmjy.com/	百万QQ批发商城-QQ号码批发|卖QQ小号批发|买QQ号|QQ不冻结号批发|QQ号码短信解封查密正查封云平台
128	0	0	0	否	靓号网/选号站	https://qqjybby.com/	QQ靓号网
129	0	0	0	否	靓号网/选号站	http://qqlh88.com/	QQ选号网|QQ靓号网|5位QQ靓号|6位QQ靓号|7位QQ靓号-超群靓号网
130	0	0	0	否	靓号网/选号站	http://qqlhmd.com/	靓号名店 QQ号码_QQ靓号网QQ交易网站|买QQ号|QQ行业|知名商家QQ专卖,专业批发零售QQ自动发货机器人承接工作室专用各类QQ
131	0	0	0	否	靓号网/选号站	https://qqlhw.com/	QQ靓号网 | 买qq靓号|国内最全QQ靓号商城
132	0	0	0	否	YKFAKA易发卡	https://qqpf.cc/	QQ直登三无小号全自动批发商城-QQ号码批发|卖QQ小号批发|买QQ号|QQ不冻结号批发|QQ号码短信解封查密正查封云平台
133	0	0	0	否	未识别模板	https://qqqxiaohao.com/	首页 | QQ小号购买与出售平台｜实名认证账号批发｜稳定安全直登
134	0	0	0	否	异次元发卡	https://qqx2.cc/	购物 - 小二🔶海外/APP批发🔶
135	0	0	0	否	其他自动发卡站	https://qqxiaohaofk.com/	个人QQ批发_QQ小号批发_qq号自助购买平台_qq小号发卡网 - QQ游戏小号批发-自动发货平台
136	0	0	0	否	未识别模板	https://tinderzhanghao.com/	首页 | Tinder账号购买-Tinder邮箱购买-Tinder邮箱批发-Tinder绿邮批发-Tinder账号出售-Tinder美国账号出售-Tinder号商-Tinder活号技术-Tinder火种批发-Tinder注册脚本-Tinder蓝v定制
137	0	0	0	否	靓号网/选号站	https://x5.wzdj.net/	QQ靓号商城 | QQ年费号码|QQ普通号专卖|QQ6 7位号码|YY频道号|YY群号|YY高成长号码|国内最大QQ、YY靓号商城。
138	0	0	0	否	其他自动发卡站	http://xiaohaopf.com/	小号批发 - 微信号、qq号、支付宝号、抖音号、快手号、小红书号在线自助购买平台
139	0	0	0	否	未识别模板	https://zu.xiangzuhao.com.cn/shop/	享租号商家管理
